Time results were received,MD5 hash of participant's IP address,Controller name,Item number,Element number,Type,Group,Word number,Word,Reading time,Newline,Sentence (or sentence MD5)
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,14,0,filler-good-01,NULL,7,shocked.,244,FALSE,When Harry fell%2C the audience was shocked.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,10,0,gp.trans,1,1,While,315,FALSE,While Anna trained the kitten paid attention.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,10,0,gp.trans,1,2,Anna,231,FALSE,While Anna trained the kitten paid attention.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,10,0,gp.trans,1,3,trained,300,FALSE,While Anna trained the kitten paid attention.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,10,0,gp.trans,1,4,the,325,FALSE,While Anna trained the kitten paid attention.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,10,0,gp.trans,1,5,kitten,277,FALSE,While Anna trained the kitten paid attention.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,10,0,gp.trans,1,6,paid,284,FALSE,While Anna trained the kitten paid attention.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,10,0,gp.trans,1,7,attention.,293,FALSE,While Anna trained the kitten paid attention.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,16,0,filler-catch-01,NULL,1,This,355,FALSE,This sentence is an attention check. Please_Wait_Three_Seconds_Before_Proceeding
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,16,0,filler-catch-01,NULL,2,sentence,430,FALSE,This sentence is an attention check. Please_Wait_Three_Seconds_Before_Proceeding
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,16,0,filler-catch-01,NULL,3,is,315,FALSE,This sentence is an attention check. Please_Wait_Three_Seconds_Before_Proceeding
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,16,0,filler-catch-01,NULL,4,an,299,FALSE,This sentence is an attention check. Please_Wait_Three_Seconds_Before_Proceeding
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,16,0,filler-catch-01,NULL,5,attention,317,FALSE,This sentence is an attention check. Please_Wait_Three_Seconds_Before_Proceeding
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,16,0,filler-catch-01,NULL,6,check.,397,FALSE,This sentence is an attention check. Please_Wait_Three_Seconds_Before_Proceeding
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,16,0,filler-catch-01,NULL,7,Please Wait Three Seconds Before Proceeding,2445,FALSE,This sentence is an attention check. Please_Wait_Three_Seconds_Before_Proceeding
